Input: range(79, 94)
fertilizer_to_water[51] = 40, diff -11
fertilizer_to_water[52] = 41, diff -11
fertilizer_to_water[53] = 49, diff -4
fertilizer_to_water[54] = 50, diff -4
fertilizer_to_water[55] = 51, diff -4
fertilizer_to_water[56] = 52, diff -4
fertilizer_to_water[57] = 53, diff -4
fertilizer_to_water[58] = 54, diff -4
fertilizer_to_water[59] = 55, diff -4
fertilizer_to_water[60] = 56, diff -4
fertilizer_to_water[61] = 61, diff 0
fertilizer_to_water[62] = 62, diff 0
fertilizer_to_water[63] = 63, diff 0
fertilizer_to_water[64] = 64, diff 0
fertilizer_to_water[65] = 65, diff 0
fertilizer_to_water[66] = 66, diff 0
fertilizer_to_water[67] = 67, diff 0
fertilizer_to_water[68] = 68, diff 0
fertilizer_to_water[69] = 69, diff 0
fertilizer_to_water[70] = 70, diff 0
fertilizer_to_water[71] = 71, diff 0
fertilizer_to_water[72] = 72, diff 0
fertilizer_to_water[73] = 73, diff 0
fertilizer_to_water[74] = 74, diff 0
fertilizer_to_water[75] = 75, diff 0
fertilizer_to_water[76] = 76, diff 0
fertilizer_to_water[77] = 77, diff 0
fertilizer_to_water[78] = 78, diff 0
fertilizer_to_water[79] = 79, diff 0
fertilizer_to_water[80] = 80, diff 0
fertilizer_to_water[81] = 81, diff 0 < range(81, 96) *
fertilizer_to_water[82] = 82, diff 0
fertilizer_to_water[83] = 83, diff 0
fertilizer_to_water[84] = 84, diff 0
fertilizer_to_water[85] = 85, diff 0
fertilizer_to_water[86] = 86, diff 0
fertilizer_to_water[87] = 87, diff 0
fertilizer_to_water[88] = 88, diff 0
fertilizer_to_water[89] = 89, diff 0
fertilizer_to_water[90] = 90, diff 0
fertilizer_to_water[91] = 91, diff 0
fertilizer_to_water[92] = 92, diff 0
fertilizer_to_water[93] = 93, diff 0
fertilizer_to_water[94] = 94, diff 0
fertilizer_to_water[95] = 95, diff 0 < range(81, 96) *
fertilizer_to_water[96] = 96, diff 0
fertilizer_to_water[97] = 97, diff 0
fertilizer_to_water[98] = 98, diff 0
fertilizer_to_water[99] = 99, diff 0

water_to_light[0] = 0, diff 0
water_to_light[1] = 1, diff 0
water_to_light[2] = 2, diff 0
water_to_light[3] = 3, diff 0
water_to_light[4] = 4, diff 0
water_to_light[5] = 5, diff 0
water_to_light[6] = 6, diff 0
water_to_light[7] = 7, diff 0
water_to_light[8] = 8, diff 0
water_to_light[9] = 9, diff 0
water_to_light[10] = 10, diff 0
water_to_light[11] = 11, diff 0
water_to_light[12] = 12, diff 0
water_to_light[13] = 13, diff 0
water_to_light[14] = 14, diff 0
water_to_light[15] = 15, diff 0
water_to_light[16] = 16, diff 0
water_to_light[17] = 17, diff 0
water_to_light[18] = 88, diff 70
water_to_light[19] = 89, diff 70
water_to_light[20] = 90, diff 70
water_to_light[21] = 91, diff 70
water_to_light[22] = 92, diff 70
water_to_light[23] = 93, diff 70
water_to_light[24] = 94, diff 70
water_to_light[25] = 18, diff -7
water_to_light[26] = 19, diff -7
water_to_light[27] = 20, diff -7
water_to_light[28] = 21, diff -7
water_to_light[29] = 22, diff -7
water_to_light[30] = 23, diff -7
water_to_light[31] = 24, diff -7
water_to_light[32] = 25, diff -7
water_to_light[33] = 26, diff -7
water_to_light[34] = 27, diff -7
water_to_light[35] = 28, diff -7
water_to_light[36] = 29, diff -7
water_to_light[37] = 30, diff -7
water_to_light[38] = 31, diff -7
water_to_light[39] = 32, diff -7
water_to_light[40] = 33, diff -7
water_to_light[41] = 34, diff -7
water_to_light[42] = 35, diff -7
water_to_light[43] = 36, diff -7
water_to_light[44] = 37, diff -7
water_to_light[45] = 38, diff -7
water_to_light[46] = 39, diff -7
water_to_light[47] = 40, diff -7
water_to_light[48] = 41, diff -7
water_to_light[49] = 42, diff -7
water_to_light[50] = 43, diff -7
water_to_light[51] = 44, diff -7
water_to_light[52] = 45, diff -7
water_to_light[53] = 46, diff -7
water_to_light[54] = 47, diff -7
water_to_light[55] = 48, diff -7
water_to_light[56] = 49, diff -7
water_to_light[57] = 50, diff -7
water_to_light[58] = 51, diff -7
water_to_light[59] = 52, diff -7
water_to_light[60] = 53, diff -7
water_to_light[61] = 54, diff -7
water_to_light[62] = 55, diff -7
water_to_light[63] = 56, diff -7
water_to_light[64] = 57, diff -7
water_to_light[65] = 58, diff -7
water_to_light[66] = 59, diff -7
water_to_light[67] = 60, diff -7
water_to_light[68] = 61, diff -7
water_to_light[69] = 62, diff -7
water_to_light[70] = 63, diff -7
water_to_light[71] = 64, diff -7
water_to_light[72] = 65, diff -7
water_to_light[73] = 66, diff -7
water_to_light[74] = 67, diff -7
water_to_light[75] = 68, diff -7
water_to_light[76] = 69, diff -7
water_to_light[77] = 70, diff -7
water_to_light[78] = 71, diff -7
water_to_light[79] = 72, diff -7
water_to_light[80] = 73, diff -7
water_to_light[81] = 74, diff -7 < range(81, 95) *
water_to_light[82] = 75, diff -7
water_to_light[83] = 76, diff -7
water_to_light[84] = 77, diff -7
water_to_light[85] = 78, diff -7
water_to_light[86] = 79, diff -7
water_to_light[87] = 80, diff -7
water_to_light[88] = 81, diff -7
water_to_light[89] = 82, diff -7
water_to_light[90] = 83, diff -7
water_to_light[91] = 84, diff -7
water_to_light[92] = 85, diff -7
water_to_light[93] = 86, diff -7
water_to_light[94] = 87, diff -7 < range(81, 95) *
water_to_light[95] = 95, diff 0  < range(95, 96) *
water_to_light[96] = 96, diff 0
water_to_light[97] = 97, diff 0
water_to_light[98] = 98, diff 0
water_to_light[99] = 99, diff 0

light_to_temperature[0] = 0, diff 0
light_to_temperature[1] = 1, diff 0
light_to_temperature[2] = 2, diff 0
light_to_temperature[3] = 3, diff 0
light_to_temperature[4] = 4, diff 0
light_to_temperature[5] = 5, diff 0
light_to_temperature[6] = 6, diff 0
light_to_temperature[7] = 7, diff 0
light_to_temperature[8] = 8, diff 0
light_to_temperature[9] = 9, diff 0
light_to_temperature[10] = 10, diff 0
light_to_temperature[11] = 11, diff 0
light_to_temperature[12] = 12, diff 0
light_to_temperature[13] = 13, diff 0
light_to_temperature[14] = 14, diff 0
light_to_temperature[15] = 15, diff 0
light_to_temperature[16] = 16, diff 0
light_to_temperature[17] = 17, diff 0
light_to_temperature[18] = 18, diff 0
light_to_temperature[19] = 19, diff 0
light_to_temperature[20] = 20, diff 0
light_to_temperature[21] = 21, diff 0
light_to_temperature[22] = 22, diff 0
light_to_temperature[23] = 23, diff 0
light_to_temperature[24] = 24, diff 0
light_to_temperature[25] = 25, diff 0
light_to_temperature[26] = 26, diff 0
light_to_temperature[27] = 27, diff 0
light_to_temperature[28] = 28, diff 0
light_to_temperature[29] = 29, diff 0
light_to_temperature[30] = 30, diff 0
light_to_temperature[31] = 31, diff 0
light_to_temperature[32] = 32, diff 0
light_to_temperature[33] = 33, diff 0
light_to_temperature[34] = 34, diff 0
light_to_temperature[35] = 35, diff 0
light_to_temperature[36] = 36, diff 0
light_to_temperature[37] = 37, diff 0
light_to_temperature[38] = 38, diff 0
light_to_temperature[39] = 39, diff 0
light_to_temperature[40] = 40, diff 0
light_to_temperature[41] = 41, diff 0
light_to_temperature[42] = 42, diff 0
light_to_temperature[43] = 43, diff 0
light_to_temperature[44] = 44, diff 0
light_to_temperature[45] = 81, diff 36
light_to_temperature[46] = 82, diff 36
light_to_temperature[47] = 83, diff 36
light_to_temperature[48] = 84, diff 36
light_to_temperature[49] = 85, diff 36
light_to_temperature[50] = 86, diff 36
light_to_temperature[51] = 87, diff 36
light_to_temperature[52] = 88, diff 36
light_to_temperature[53] = 89, diff 36
light_to_temperature[54] = 90, diff 36
light_to_temperature[55] = 91, diff 36
light_to_temperature[56] = 92, diff 36
light_to_temperature[57] = 93, diff 36
light_to_temperature[58] = 94, diff 36
light_to_temperature[59] = 95, diff 36
light_to_temperature[60] = 96, diff 36
light_to_temperature[61] = 97, diff 36
light_to_temperature[62] = 98, diff 36
light_to_temperature[63] = 99, diff 36
light_to_temperature[64] = 68, diff 4
light_to_temperature[65] = 69, diff 4
light_to_temperature[66] = 70, diff 4
light_to_temperature[67] = 71, diff 4
light_to_temperature[68] = 72, diff 4
light_to_temperature[69] = 73, diff 4
light_to_temperature[70] = 74, diff 4
light_to_temperature[71] = 75, diff 4
light_to_temperature[72] = 76, diff 4
light_to_temperature[73] = 77, diff 4
light_to_temperature[74] = 78, diff 4 	< range(74, 77) *
light_to_temperature[75] = 79, diff 4
light_to_temperature[76] = 80, diff 4   < range(74, 77) *
light_to_temperature[77] = 45, diff -32 < range(77, 88) *
light_to_temperature[78] = 46, diff -32
light_to_temperature[79] = 47, diff -32
light_to_temperature[80] = 48, diff -32
light_to_temperature[81] = 49, diff -32
light_to_temperature[82] = 50, diff -32
light_to_temperature[83] = 51, diff -32
light_to_temperature[84] = 52, diff -32
light_to_temperature[85] = 53, diff -32
light_to_temperature[86] = 54, diff -32
light_to_temperature[87] = 55, diff -32 < range(77, 88) *
light_to_temperature[88] = 56, diff -32
light_to_temperature[89] = 57, diff -32
light_to_temperature[90] = 58, diff -32
light_to_temperature[91] = 59, diff -32
light_to_temperature[92] = 60, diff -32
light_to_temperature[93] = 61, diff -32
light_to_temperature[94] = 62, diff -32
light_to_temperature[95] = 63, diff -32 < range(95, 96) *
light_to_temperature[96] = 64, diff -32
light_to_temperature[97] = 65, diff -32
light_to_temperature[98] = 66, diff -32
light_to_temperature[99] = 67, diff -32

temperature_to_humidity[0] = 1, diff 1
temperature_to_humidity[1] = 2, diff 1
temperature_to_humidity[2] = 3, diff 1
temperature_to_humidity[3] = 4, diff 1
temperature_to_humidity[4] = 5, diff 1
temperature_to_humidity[5] = 6, diff 1
temperature_to_humidity[6] = 7, diff 1
temperature_to_humidity[7] = 8, diff 1
temperature_to_humidity[8] = 9, diff 1
temperature_to_humidity[9] = 10, diff 1
temperature_to_humidity[10] = 11, diff 1
temperature_to_humidity[11] = 12, diff 1
temperature_to_humidity[12] = 13, diff 1
temperature_to_humidity[13] = 14, diff 1
temperature_to_humidity[14] = 15, diff 1
temperature_to_humidity[15] = 16, diff 1
temperature_to_humidity[16] = 17, diff 1
temperature_to_humidity[17] = 18, diff 1
temperature_to_humidity[18] = 19, diff 1
temperature_to_humidity[19] = 20, diff 1
temperature_to_humidity[20] = 21, diff 1
temperature_to_humidity[21] = 22, diff 1
temperature_to_humidity[22] = 23, diff 1
temperature_to_humidity[23] = 24, diff 1
temperature_to_humidity[24] = 25, diff 1
temperature_to_humidity[25] = 26, diff 1
temperature_to_humidity[26] = 27, diff 1
temperature_to_humidity[27] = 28, diff 1
temperature_to_humidity[28] = 29, diff 1
temperature_to_humidity[29] = 30, diff 1
temperature_to_humidity[30] = 31, diff 1
temperature_to_humidity[31] = 32, diff 1
temperature_to_humidity[32] = 33, diff 1
temperature_to_humidity[33] = 34, diff 1
temperature_to_humidity[34] = 35, diff 1
temperature_to_humidity[35] = 36, diff 1
temperature_to_humidity[36] = 37, diff 1
temperature_to_humidity[37] = 38, diff 1
temperature_to_humidity[38] = 39, diff 1
temperature_to_humidity[39] = 40, diff 1
temperature_to_humidity[40] = 41, diff 1
temperature_to_humidity[41] = 42, diff 1
temperature_to_humidity[42] = 43, diff 1
temperature_to_humidity[43] = 44, diff 1
temperature_to_humidity[44] = 45, diff 1 
temperature_to_humidity[45] = 46, diff 1 < range(45, 56) *
temperature_to_humidity[46] = 47, diff 1
temperature_to_humidity[47] = 48, diff 1
temperature_to_humidity[48] = 49, diff 1
temperature_to_humidity[49] = 50, diff 1
temperature_to_humidity[50] = 51, diff 1
temperature_to_humidity[51] = 52, diff 1
temperature_to_humidity[52] = 53, diff 1
temperature_to_humidity[53] = 54, diff 1
temperature_to_humidity[54] = 55, diff 1 
temperature_to_humidity[55] = 56, diff 1 < range(45, 56) *
temperature_to_humidity[56] = 57, diff 1
temperature_to_humidity[57] = 58, diff 1
temperature_to_humidity[58] = 59, diff 1
temperature_to_humidity[59] = 60, diff 1
temperature_to_humidity[60] = 61, diff 1
temperature_to_humidity[61] = 62, diff 1
temperature_to_humidity[62] = 63, diff 1 < range(62, 63) *
temperature_to_humidity[63] = 64, diff 1
temperature_to_humidity[64] = 65, diff 1
temperature_to_humidity[65] = 66, diff 1
temperature_to_humidity[66] = 67, diff 1
temperature_to_humidity[67] = 68, diff 1
temperature_to_humidity[68] = 69, diff 1
temperature_to_humidity[69] = 0, diff -69
temperature_to_humidity[70] = 70, diff 0
temperature_to_humidity[71] = 71, diff 0
temperature_to_humidity[72] = 72, diff 0
temperature_to_humidity[73] = 73, diff 0
temperature_to_humidity[74] = 74, diff 0
temperature_to_humidity[75] = 75, diff 0
temperature_to_humidity[76] = 76, diff 0
temperature_to_humidity[77] = 77, diff 0
temperature_to_humidity[78] = 78, diff 0 < range(78, 81) *
temperature_to_humidity[79] = 79, diff 0
temperature_to_humidity[80] = 80, diff 0 < range(78, 81) *
temperature_to_humidity[81] = 81, diff 0
temperature_to_humidity[82] = 82, diff 0
temperature_to_humidity[83] = 83, diff 0
temperature_to_humidity[84] = 84, diff 0
temperature_to_humidity[85] = 85, diff 0
temperature_to_humidity[86] = 86, diff 0
temperature_to_humidity[87] = 87, diff 0
temperature_to_humidity[88] = 88, diff 0
temperature_to_humidity[89] = 89, diff 0
temperature_to_humidity[90] = 90, diff 0
temperature_to_humidity[91] = 91, diff 0
temperature_to_humidity[92] = 92, diff 0
temperature_to_humidity[93] = 93, diff 0
temperature_to_humidity[94] = 94, diff 0
temperature_to_humidity[95] = 95, diff 0
temperature_to_humidity[96] = 96, diff 0
temperature_to_humidity[97] = 97, diff 0
temperature_to_humidity[98] = 98, diff 0
temperature_to_humidity[99] = 99, diff 0

humidity_to_location[0] = 0, diff 0
humidity_to_location[1] = 1, diff 0
humidity_to_location[2] = 2, diff 0
humidity_to_location[3] = 3, diff 0
humidity_to_location[4] = 4, diff 0
humidity_to_location[5] = 5, diff 0
humidity_to_location[6] = 6, diff 0
humidity_to_location[7] = 7, diff 0
humidity_to_location[8] = 8, diff 0
humidity_to_location[9] = 9, diff 0
humidity_to_location[10] = 10, diff 0
humidity_to_location[11] = 11, diff 0
humidity_to_location[12] = 12, diff 0
humidity_to_location[13] = 13, diff 0
humidity_to_location[14] = 14, diff 0
humidity_to_location[15] = 15, diff 0
humidity_to_location[16] = 16, diff 0
humidity_to_location[17] = 17, diff 0
humidity_to_location[18] = 18, diff 0
humidity_to_location[19] = 19, diff 0
humidity_to_location[20] = 20, diff 0
humidity_to_location[21] = 21, diff 0
humidity_to_location[22] = 22, diff 0
humidity_to_location[23] = 23, diff 0
humidity_to_location[24] = 24, diff 0
humidity_to_location[25] = 25, diff 0
humidity_to_location[26] = 26, diff 0
humidity_to_location[27] = 27, diff 0
humidity_to_location[28] = 28, diff 0
humidity_to_location[29] = 29, diff 0
humidity_to_location[30] = 30, diff 0
humidity_to_location[31] = 31, diff 0
humidity_to_location[32] = 32, diff 0
humidity_to_location[33] = 33, diff 0
humidity_to_location[34] = 34, diff 0
humidity_to_location[35] = 35, diff 0
humidity_to_location[36] = 36, diff 0
humidity_to_location[37] = 37, diff 0
humidity_to_location[38] = 38, diff 0
humidity_to_location[39] = 39, diff 0
humidity_to_location[40] = 40, diff 0
humidity_to_location[41] = 41, diff 0
humidity_to_location[42] = 42, diff 0
humidity_to_location[43] = 43, diff 0
humidity_to_location[44] = 44, diff 0
humidity_to_location[45] = 45, diff 0 
humidity_to_location[46] = 46, diff 0 < range(46, 56) *
humidity_to_location[47] = 47, diff 0
humidity_to_location[48] = 48, diff 0
humidity_to_location[49] = 49, diff 0
humidity_to_location[50] = 50, diff 0
humidity_to_location[51] = 51, diff 0
humidity_to_location[52] = 52, diff 0
humidity_to_location[53] = 53, diff 0
humidity_to_location[54] = 54, diff 0
humidity_to_location[55] = 55, diff 0 < range(46, 56) *
humidity_to_location[56] = 60, diff 4 < range(60, 62) *
humidity_to_location[57] = 61, diff 4 < range(60, 62) *
humidity_to_location[58] = 62, diff 4
humidity_to_location[59] = 63, diff 4
humidity_to_location[60] = 64, diff 4
humidity_to_location[61] = 65, diff 4
humidity_to_location[62] = 66, diff 4
humidity_to_location[63] = 67, diff 4 < range(63, 64) *
humidity_to_location[64] = 68, diff 4
humidity_to_location[65] = 69, diff 4
humidity_to_location[66] = 70, diff 4
humidity_to_location[67] = 71, diff 4
humidity_to_location[68] = 72, diff 4
humidity_to_location[69] = 73, diff 4
humidity_to_location[70] = 74, diff 4
humidity_to_location[71] = 75, diff 4
humidity_to_location[72] = 76, diff 4
humidity_to_location[73] = 77, diff 4
humidity_to_location[74] = 78, diff 4
humidity_to_location[75] = 79, diff 4
humidity_to_location[76] = 80, diff 4
humidity_to_location[77] = 81, diff 4
humidity_to_location[78] = 82, diff 4 < range(78, 81) *
humidity_to_location[79] = 83, diff 4
humidity_to_location[80] = 84, diff 4 < range(78, 81) *
humidity_to_location[81] = 85, diff 4
humidity_to_location[82] = 86, diff 4
humidity_to_location[83] = 87, diff 4
humidity_to_location[84] = 88, diff 4
humidity_to_location[85] = 89, diff 4
humidity_to_location[86] = 90, diff 4
humidity_to_location[87] = 91, diff 4
humidity_to_location[88] = 92, diff 4
humidity_to_location[89] = 93, diff 4
humidity_to_location[90] = 94, diff 4
humidity_to_location[91] = 95, diff 4
humidity_to_location[92] = 96, diff 4
humidity_to_location[93] = 56, diff -37
humidity_to_location[94] = 57, diff -37
